
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth"

="log_cashfood",="3.656***",="2.651***",="-0.066",="2.842***",="-1.031"
="",="(0.221)",="(0.269)",="(0.507)",="(0.261)",="(0.733)"

="lpop",="",="-0.793***",="-0.819",="-1.082***",="-0.776"
="",="",="(0.155)",="(1.171)",="(0.169)",="(1.219)"

="lgsp",="",="0.957***",="0.925***",="1.297***",="-0.435"
="",="",="(0.148)",="(0.287)",="(0.169)",="(0.521)"

="unemp_rate",="",="-0.077***",="0.009",="-0.076***",="-0.052"
="",="",="(0.016)",="(0.017)",="(0.029)",="(0.035)"

="merged_gov_democ",="",="0.149**",="-0.074",="0.104",="-0.065"
="",="",="(0.069)",="(0.057)",="(0.070)",="(0.059)"

="RefundableStateEITC1Yes",="",="0.318***",="0.176*",="0.293***",="0.130"
="",="",="(0.060)",="(0.099)",="(0.059)",="(0.102)"

="(sum) hh_black",="",="-0.005***",="-0.001",="-0.005***",="-0.002"
="",="",="(0.001)",="(0.003)",="(0.001)",="(0.003)"

="(sum) hh_median_lfp",="",="0.004**",="-0.003*",="0.002",="-0.002"
="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="(sum) hh_median_married",="",="-0.005**",="0.003**",="-0.003",="0.004**"
="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="Alabama",="",="",="0.000",="",="0.000"
="",="",="",="(.)",="",="(.)"

="Alaska",="",="",="0.855",="",="-0.370"
="",="",="",="(1.971)",="",="(2.106)"

="Arizona",="",="",="0.944**",="",="1.434***"
="",="",="",="(0.378)",="",="(0.409)"

="Arkansas",="",="",="-0.136",="",="-0.920*"
="",="",="",="(0.468)",="",="(0.546)"

="Californa",="",="",="0.884",="",="3.939*"
="",="",="",="(1.825)",="",="(2.089)"

="Colorado",="",="",="0.970***",="",="1.467***"
="",="",="",="(0.278)",="",="(0.310)"

="Conneticut",="",="",="2.168***",="",="2.629***"
="",="",="",="(0.470)",="",="(0.500)"

="Delaware",="",="",="1.032",="",="-0.366"
="",="",="",="(1.699)",="",="(1.826)"

="Florida",="",="",="1.633",="",="3.506**"
="",="",="",="(1.224)",="",="(1.399)"

="Georgia",="",="",="-0.055",="",="1.200"
="",="",="",="(0.604)",="",="(0.744)"

="Hawaii",="",="",="2.197*",="",="1.298"
="",="",="",="(1.331)",="",="(1.431)"

="Idaho",="",="",="0.787",="",="-0.803"
="",="",="",="(1.044)",="",="(1.200)"

="Illinois",="",="",="0.597",="",="2.464**"
="",="",="",="(0.873)",="",="(1.068)"

="Indiana",="",="",="0.204",="",="0.830**"
="",="",="",="(0.372)",="",="(0.421)"

="Iowa",="",="",="0.853",="",="0.542"
="",="",="",="(0.532)",="",="(0.557)"

="Kansas",="",="",="0.332",="",="-0.022"
="",="",="",="(0.560)",="",="(0.592)"

="Kentucky",="",="",="0.137",="",="0.028"
="",="",="",="(0.211)",="",="(0.218)"

="Louisiana",="",="",="-0.283",="",="0.058"
="",="",="",="(0.239)",="",="(0.266)"

="Maine",="",="",="1.623",="",="0.042"
="",="",="",="(1.203)",="",="(1.355)"

="Maryland",="",="",="1.392***",="",="2.332***"
="",="",="",="(0.274)",="",="(0.410)"

="Massachussetts",="",="",="2.301***",="",="3.644***"
="",="",="",="(0.356)",="",="(0.548)"

="Michigan",="",="",="1.679**",="",="3.063***"
="",="",="",="(0.693)",="",="(0.831)"

="Minnesota",="",="",="1.679***",="",="2.546***"
="",="",="",="(0.342)",="",="(0.450)"

="Mississippi",="",="",="-0.234",="",="-1.000*"
="",="",="",="(0.441)",="",="(0.522)"

="Missouri",="",="",="0.747***",="",="1.210***"
="",="",="",="(0.282)",="",="(0.318)"

="Montana",="",="",="1.051",="",="-0.964"
="",="",="",="(1.457)",="",="(1.652)"

="Nebraska",="",="",="1.208",="",="0.270"
="",="",="",="(0.977)",="",="(1.055)"

="Nevada",="",="",="0.428",="",="0.121"
="",="",="",="(0.680)",="",="(0.720)"

="New Hampshire",="",="",="2.910**",="",="1.561"
="",="",="",="(1.279)",="",="(1.401)"

="New Jersey",="",="",="2.434***",="",="3.936***"
="",="",="",="(0.547)",="",="(0.727)"

="New Mexico",="",="",="0.389",="",="-0.535"
="",="",="",="(0.837)",="",="(0.925)"

="New York",="",="",="2.056*",="",="4.796***"
="",="",="",="(1.169)",="",="(1.480)"

="North Carolina",="",="",="0.538",="",="1.718**"
="",="",="",="(0.630)",="",="(0.746)"

="North Dakota",="",="",="1.219",="",="-0.952"
="",="",="",="(1.872)",="",="(2.061)"

="Ohio",="",="",="1.083",="",="2.626***"
="",="",="",="(0.786)",="",="(0.943)"

="Oklahoma",="",="",="-0.212",="",="-0.440"
="",="",="",="(0.343)",="",="(0.361)"

="Oregon",="",="",="1.457***",="",="1.543***"
="",="",="",="(0.315)",="",="(0.320)"

="Pennsylvania",="",="",="1.714**",="",="3.247***"
="",="",="",="(0.864)",="",="(1.014)"

="Rhode Island",="",="",="1.785",="",="0.355"
="",="",="",="(1.457)",="",="(1.597)"

="South Carolina",="",="",="1.079***",="",="1.122***"
="",="",="",="(0.210)",="",="(0.212)"

="South Dakota",="",="",="0.943",="",="-1.157"
="",="",="",="(1.695)",="",="(1.882)"

="Tennessee",="",="",="0.207",="",="0.755*"
="",="",="",="(0.343)",="",="(0.386)"

="Texas",="",="",="-0.148",="",="2.142"
="",="",="",="(1.438)",="",="(1.650)"

="Utah",="",="",="0.464",="",="-0.087"
="",="",="",="(0.609)",="",="(0.659)"

="Vermont",="",="",="2.437",="",="0.121"
="",="",="",="(1.908)",="",="(2.126)"

="Virginia",="",="",="1.190***",="",="2.274***"
="",="",="",="(0.452)",="",="(0.585)"

="Washington",="",="",="0.986***",="",="2.040***"
="",="",="",="(0.374)",="",="(0.484)"

="West Virginia",="",="",="0.718",="",="-0.675"
="",="",="",="(0.859)",="",="(1.004)"

="Wisconsin",="",="",="1.931***",="",="2.773***"
="",="",="",="(0.374)",="",="(0.473)"

="Wyoming",="",="",="0.279",="",="-1.908"
="",="",="",="(2.112)",="",="(2.308)"

="year=2001",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)"

="year=2002",="",="",="",="0.041*",="0.164***"
="",="",="",="",="(0.024)",="(0.042)"

="year=2003",="",="",="",="-0.045",="0.222***"
="",="",="",="",="(0.030)",="(0.071)"

="year=2004",="",="",="",="0.043",="0.379***"
="",="",="",="",="(0.030)",="(0.090)"

="year=2005",="",="",="",="-0.162***",="0.263**"
="",="",="",="",="(0.034)",="(0.110)"

="year=2006",="",="",="",="-0.159***",="0.311**"
="",="",="",="",="(0.043)",="(0.128)"

="year=2007",="",="",="",="-0.063",="0.502***"
="",="",="",="",="(0.048)",="(0.147)"

="year=2008",="",="",="",="0.014",="0.626***"
="",="",="",="",="(0.057)",="(0.177)"

="year=2009",="",="",="",="-0.051",="0.984***"
="",="",="",="",="(0.111)",="(0.268)"

="year=2010",="",="",="",="-0.329***",="0.947***"
="",="",="",="",="(0.116)",="(0.301)"

="year=2011",="",="",="",="-0.169",="1.009***"
="",="",="",="",="(0.103)",="(0.288)"

="year=2012",="",="",="",="-0.333***",="0.880***"
="",="",="",="",="(0.087)",="(0.283)"

="year=2013",="",="",="",="-0.281***",="0.980***"
="",="",="",="",="(0.078)",="(0.285)"

="year=2014",="",="",="",="-0.180**",="0.995***"
="",="",="",="",="(0.072)",="(0.273)"

="year=2015",="",="",="",="-0.410***",="0.980***"
="",="",="",="",="(0.070)",="(0.293)"

="year=2016",="",="",="",="-0.336***",="1.035***"
="",="",="",="",="(0.076)",="(0.296)"

="year=2017",="",="",="",="-0.265***",="1.071***"
="",="",="",="",="(0.087)",="(0.302)"

="year=2018",="",="",="",="-0.640***",="0.980***"
="",="",="",="",="(0.097)",="(0.337)"

="Constant",="17.999***",="20.500***",="24.650*",="20.762***",="41.552**"
="",="(0.382)",="(1.085)",="(14.694)",="(1.116)",="(16.253)"

