
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth",="(p 50) hh_median_age_at_first_birth"

="log_food",="-0.751***",="-0.526***",="0.263",="-0.592***",="0.325"
="",="(0.250)",="(0.113)",="(0.241)",="(0.154)",="(0.410)"

="lpop",="",="-1.748***",="-0.724",="-1.905***",="-1.358"
="",="",="(0.134)",="(1.140)",="(0.142)",="(1.203)"

="lgsp",="",="1.782***",="0.787**",="1.991***",="-0.413"
="",="",="(0.135)",="(0.310)",="(0.151)",="(0.504)"

="merged_gov_democ",="",="0.113",="-0.076",="0.096",="-0.060"
="",="",="(0.077)",="(0.058)",="(0.077)",="(0.060)"

="RefundableStateEITC1Yes",="",="0.460***",="0.172*",="0.437***",="0.061"
="",="",="(0.067)",="(0.097)",="(0.069)",="(0.101)"

="(sum) hh_black",="",="-0.008***",="-0.001",="-0.007***",=""
="",="",="(0.001)",="(0.003)",="(0.001)",=""

="(sum) hh_median_lfp",="",="0.005**",="-0.003*",="0.003*",="-0.003*"
="",="",="(0.002)",="(0.002)",="(0.002)",="(0.001)"

="(sum) hh_median_married",="",="-0.004*",="0.003**",="-0.003",="0.004**"
="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="unemp_rate",="",="",="-0.007",="-0.051*",="-0.017"
="",="",="",="(0.019)",="(0.028)",="(0.035)"

="Alabama",="",="",="0.000",="",="0.000"
="",="",="",="(.)",="",="(.)"

="Alaska",="",="",="0.853",="",="-2.148"
="",="",="",="(1.821)",="",="(2.076)"

="Arizona",="",="",="0.983***",="",="1.756***"
="",="",="",="(0.378)",="",="(0.390)"

="Arkansas",="",="",="-0.173",="",="-1.075**"
="",="",="",="(0.457)",="",="(0.541)"

="Californa",="",="",="1.125",="",="5.691***"
="",="",="",="(1.854)",="",="(2.152)"

="Colorado",="",="",="1.024***",="",="1.328***"
="",="",="",="(0.278)",="",="(0.284)"

="Conneticut",="",="",="2.256***",="",="1.995***"
="",="",="",="(0.440)",="",="(0.529)"

="Delaware",="",="",="1.035",="",="-1.705"
="",="",="",="(1.621)",="",="(1.849)"

="Florida",="",="",="1.719",="",="4.457***"
="",="",="",="(1.217)",="",="(1.421)"

="Georgia",="",="",="0.015",="",="1.642**"
="",="",="",="(0.604)",="",="(0.753)"

="Hawaii",="",="",="1.961",="",="-0.242"
="",="",="",="(1.219)",="",="(1.385)"

="Idaho",="",="",="0.728",="",="-1.661"
="",="",="",="(1.004)",="",="(1.241)"

="Illinois",="",="",="0.716",="",="2.854***"
="",="",="",="(0.876)",="",="(1.064)"

="Indiana",="",="",="0.240",="",="0.932**"
="",="",="",="(0.371)",="",="(0.396)"

="Iowa",="",="",="0.863*",="",="0.052"
="",="",="",="(0.487)",="",="(0.573)"

="Kansas",="",="",="0.343",="",="-0.329"
="",="",="",="(0.515)",="",="(0.580)"

="Kentucky",="",="",="0.146",="",="-0.137"
="",="",="",="(0.210)",="",="(0.226)"

="Louisiana",="",="",="-0.242",="",="0.063"
="",="",="",="(0.240)",="",="(0.252)"

="Maine",="",="",="1.602",="",="-1.005"
="",="",="",="(1.125)",="",="(1.393)"

="Maryland",="",="",="1.468***",="",="2.080***"
="",="",="",="(0.281)",="",="(0.371)"

="Massachussetts",="",="",="2.446***",="",="3.389***"
="",="",="",="(0.389)",="",="(0.527)"

="Michigan",="",="",="1.802**",="",="3.257***"
="",="",="",="(0.715)",="",="(0.822)"

="Minnesota",="",="",="1.826***",="",="2.191***"
="",="",="",="(0.321)",="",="(0.405)"

="Mississippi",="",="",="-0.263",="",="-1.322**"
="",="",="",="(0.429)",="",="(0.528)"

="Missouri",="",="",="0.782***",="",="1.301***"
="",="",="",="(0.285)",="",="(0.304)"

="Montana",="",="",="1.016",="",="-2.127"
="",="",="",="(1.367)",="",="(1.685)"

="Nebraska",="",="",="1.184",="",="-0.407"
="",="",="",="(0.926)",="",="(1.069)"

="Nevada",="",="",="0.493",="",="-0.423"
="",="",="",="(0.633)",="",="(0.721)"

="New Hampshire",="",="",="2.919**",="",="0.359"
="",="",="",="(1.187)",="",="(1.457)"

="New Jersey",="",="",="2.534***",="",="3.868***"
="",="",="",="(0.561)",="",="(0.712)"

="New Mexico",="",="",="0.393",="",="-0.886"
="",="",="",="(0.784)",="",="(0.906)"

="New York",="",="",="2.252*",="",="5.432***"
="",="",="",="(1.207)",="",="(1.493)"

="North Carolina",="",="",="0.606",="",="2.161***"
="",="",="",="(0.626)",="",="(0.758)"

="North Dakota",="",="",="1.173",="",="-2.466"
="",="",="",="(1.777)",="",="(2.120)"

="Ohio",="",="",="1.203",="",="3.052***"
="",="",="",="(0.805)",="",="(0.942)"

="Oklahoma",="",="",="-0.218",="",="-0.449"
="",="",="",="(0.327)",="",="(0.330)"

="Oregon",="",="",="1.515***",="",="1.306***"
="",="",="",="(0.298)",="",="(0.305)"

="Pennsylvania",="",="",="1.797**",="",="3.651***"
="",="",="",="(0.859)",="",="(1.000)"

="Rhode Island",="",="",="1.828",="",="-0.927"
="",="",="",="(1.360)",="",="(1.637)"

="South Carolina",="",="",="1.097***",="",="1.063***"
="",="",="",="(0.209)",="",="(0.209)"

="South Dakota",="",="",="0.894",="",="-2.483"
="",="",="",="(1.604)",="",="(1.929)"

="Tennessee",="",="",="0.243",="",="0.981**"
="",="",="",="(0.343)",="",="(0.389)"

="Texas",="",="",="-0.054",="",="3.750**"
="",="",="",="(1.420)",="",="(1.717)"

="Utah",="",="",="0.470",="",="-0.484"
="",="",="",="(0.562)",="",="(0.648)"

="Vermont",="",="",="2.408",="",="-1.520"
="",="",="",="(1.773)",="",="(2.171)"

="Virginia",="",="",="1.239***",="",="2.185***"
="",="",="",="(0.458)",="",="(0.574)"

="Washington",="",="",="1.099***",="",="2.137***"
="",="",="",="(0.394)",="",="(0.469)"

="West Virginia",="",="",="0.675",="",="-1.450"
="",="",="",="(0.819)",="",="(1.044)"

="Wisconsin",="",="",="2.078***",="",="2.464***"
="",="",="",="(0.368)",="",="(0.423)"

="Wyoming",="",="",="0.282",="",="-3.358"
="",="",="",="(1.998)",="",="(2.337)"

="year=2001",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)"

="year=2002",="",="",="",="0.092***",="0.096**"
="",="",="",="",="(0.026)",="(0.043)"

="year=2003",="",="",="",="0.027",="0.118*"
="",="",="",="",="(0.034)",="(0.066)"

="year=2004",="",="",="",="0.045",="0.327***"
="",="",="",="",="(0.032)",="(0.084)"

="year=2005",="",="",="",="-0.191***",="0.189*"
="",="",="",="",="(0.037)",="(0.111)"

="year=2006",="",="",="",="-0.273***",="0.254**"
="",="",="",="",="(0.042)",="(0.130)"

="year=2007",="",="",="",="-0.210***",="0.446***"
="",="",="",="",="(0.047)",="(0.150)"

="year=2008",="",="",="",="-0.149***",="0.405***"
="",="",="",="",="(0.054)",="(0.096)"

="year=2009",="",="",="",="0.204",="0.254"
="",="",="",="",="(0.124)",="(0.179)"

="year=2010",="",="",="",="0.151",="-0.122"
="",="",="",="",="(0.146)",="(0.256)"

="year=2011",="",="",="",="0.149",="0.034"
="",="",="",="",="(0.128)",="(0.221)"

="year=2012",="",="",="",="-0.071",="-0.048"
="",="",="",="",="(0.111)",="(0.187)"

="year=2013",="",="",="",="-0.025",="0.038"
="",="",="",="",="(0.101)",="(0.164)"

="year=2014",="",="",="",="-0.128",="0.165"
="",="",="",="",="(0.082)",="(0.103)"

="year=2015",="",="",="",="-0.203**",="0.054"
="",="",="",="",="(0.086)",="(0.092)"

="year=2016",="",="",="",="-0.170*",="0.099"
="",="",="",="",="(0.088)",="(0.073)"

="year=2017",="",="",="",="-0.210**",="0.159***"
="",="",="",="",="(0.094)",="(0.043)"

="year=2018",="",="",="",="-0.505***",="0.000"
="",="",="",="",="(0.102)",="(.)"

="MarginallyFoodInsecure",="",="",="",="",="-0.020**"
="",="",="",="",="",="(0.010)"

="NumberofPoorthousands",="",="",="",="",="-0.000"
="",="",="",="",="",="(0.000)"

