
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="inlabforce",="married",="divorced",="separated",="never_married",="nchild",="unemployed",="mig_dummy"

="log_stampval",="-0.00269",="-0.0246***",="0.00263",="0.0181***",="0.0356***",="0.121***",="0.0121**",="-0.00228"
="",="(-0.61)",="(-4.23)",="(0.65)",="(4.30)",="(7.62)",="(8.41)",="(3.28)",="(-1.25)"

="married",="-0.0711***",="",="",="",="",="",="0.00214",="0.00252"
="",="(-8.83)",="",="",="",="",="",="(0.30)",="(0.79)"

="black",="0.00555",="-0.162***",="-0.0671***",="-0.0522**",="0.219***",="0.0648*",="0.0625***",="0.00484"
="",="(0.51)",="(-8.95)",="(-6.01)",="(-3.38)",="(10.49)",="(2.25)",="(5.82)",="(1.22)"

="log_hhincome",="0.0254***",="0.0588***",="-0.00183",="-0.0166**",="-0.0746***",="-0.218***",="-0.0331***",="0.000197"
="",="(6.33)",="(9.14)",="(-0.40)",="(-2.85)",="(-8.90)",="(-18.51)",="(-7.83)",="(0.12)"

="famsize",="-0.0156***",="0.0917***",="-0.0201***",="-0.0306***",="-0.0421***",="0.613***",="0.000398",="-0.000986"
="",="(-4.66)",="(11.27)",="(-4.89)",="(-7.48)",="(-6.42)",="(37.26)",="(0.12)",="(-0.97)"

="management_business_financial",="0.795***",="-0.00753",="0.0346",="-0.00690",="0.0114",="0.139",="0.0338",="-0.0183*"
="",="(14.96)",="(-0.09)",="(0.29)",="(-0.10)",="(0.10)",="(1.03)",="(0.51)",="(-2.05)"

="professional_related",="0.906***",="-0.0672*",="0.00817",="-0.0374",="0.0529",="0.0651",="0.267***",="0.0263"
="",="(87.86)",="(-2.27)",="(0.36)",="(-1.61)",="(1.56)",="(1.03)",="(5.96)",="(1.42)"

="nchild",="0.0175***",="-0.0339***",="0.00277",="0.0417***",="0.0263**",="",="0.00275",="0.00142"
="",="(4.08)",="(-3.70)",="(0.62)",="(9.79)",="(2.99)",="",="(0.71)",="(1.08)"

="service_occupations",="0.884***",="-0.0299",="0.0349",="-0.000574",="-0.00255",="-0.0843",="0.204***",="-0.00378"
="",="(96.26)",="(-1.10)",="(1.44)",="(-0.03)",="(-0.09)",="(-1.85)",="(11.07)",="(-0.61)"

="sales_office",="0.873***",="-0.0225",="0.00782",="-0.0419",="0.0655*",="-0.0304",="0.197***",="0.00409"
="",="(81.67)",="(-1.08)",="(0.36)",="(-1.90)",="(2.40)",="(-0.76)",="(10.91)",="(0.48)"

="natres_const_maintenance",="0.884***",="-0.0352",="0.0222",="-0.00679",="0.0262",="0.167*",="0.298***",="0.0139"
="",="(51.52)",="(-1.18)",="(0.49)",="(-0.20)",="(0.68)",="(2.60)",="(6.23)",="(0.83)"

="prod_transp_mater_moving",="0.898***",="-0.0452*",="0.00727",="0.00135",="0.0252",="0.00626",="0.148***",="0.00832"
="",="(145.72)",="(-2.66)",="(0.59)",="(0.10)",="(1.21)",="(0.22)",="(10.30)",="(1.51)"

="metro_dummy",="-0.00968",="-0.00738",="-0.00574",="0.00876",="0.0267*",="0.0204",="-0.0217**",="-0.00160"
="",="(-1.27)",="(-0.60)",="(-0.53)",="(0.86)",="(2.26)",="(0.70)",="(-3.46)",="(-0.40)"

="1996.year",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1997.year",="0.0248",="0.00921",="0.0239",="-0.0466",="0.0312",="0.0474",="0.0351",="-0.000824"
="",="(1.64)",="(0.47)",="(1.02)",="(-1.88)",="(1.37)",="(0.83)",="(1.83)",="(-0.07)"

="1998.year",="0.0589**",="0.0405",="0.0138",="-0.0760**",="0.0525",="0.00287",="0.0255",="-0.00103"
="",="(2.92)",="(1.60)",="(0.49)",="(-3.08)",="(1.71)",="(0.04)",="(1.01)",="(-0.11)"

="1999.year",="0.0361*",="0.0300",="-0.0206",="-0.0366",="0.0573",="-0.0724",="0.0304",="0.0000984"
="",="(2.13)",="(1.21)",="(-0.95)",="(-1.30)",="(1.62)",="(-1.13)",="(1.14)",="(0.01)"

="2000.year",="0.0376*",="0.0354",="-0.0307",="-0.0972**",="0.114*",="-0.0879",="0.0257",="0.00277"
="",="(2.02)",="(1.30)",="(-1.26)",="(-2.81)",="(2.63)",="(-1.12)",="(1.57)",="(0.21)"

