
="",="(1)",="(2)",="(3)"
="",="age_at_first_birth",="age_at_first_birth",="age_at_first_birth"

="log_stampval",="-0.231*",="-0.697**",="0.338"
="",="(-2.66)",="(-3.42)",="(0.45)"

="married",="-0.0739",="1.073*",="0.215"
="",="(-0.53)",="(2.13)",="(0.10)"

="nchild",="-1.481***",="-1.787***",="-1.648**"
="",="(-11.09)",="(-7.79)",="(-2.87)"

="unemprate",="-0.0110",="0.0265",="-0.681"
="",="(-0.11)",="(0.14)",="(-0.74)"

="management_business_financial",="-1.917",="1.518",="0"
="",="(-1.86)",="(1.97)",="(.)"

="professional_related",="-0.353",="1.162",="-7.153*"
="",="(-0.69)",="(0.65)",="(-2.40)"

="service_occupations",="-0.454",="-0.753",="-0.187"
="",="(-1.24)",="(-1.06)",="(-0.06)"

="sales_office",="-1.967***",="-0.401",="4.868"
="",="(-4.30)",="(-0.49)",="(1.20)"

="natres_const_maintenance",="-0.134",="-2.504*",="-2.589"
="",="(-0.23)",="(-2.18)",="(-1.07)"

="prod_transp_mater_moving",="-0.520*",="0.256",="-2.293"
="",="(-2.11)",="(0.53)",="(-0.68)"

="empstat",="0.00336",="0.0819***",="-0.00536"
="",="(0.37)",="(4.73)",="(-0.07)"

="log_hhincome",="0.128",="0.486**",="-0.900**"
="",="(1.86)",="(3.33)",="(-2.85)"

="famsize",="-0.164",="0.324",="-0.567"
="",="(-1.64)",="(1.91)",="(-0.92)"

="metro_dummy",="-0.00305",="0.0374",="-4.022**"
="",="(-0.01)",="(0.11)",="(-3.03)"

="1996.year",="0",="0",=""
="",="(.)",="(.)",=""

="1997.year",="0.551",="-0.0509",=""
="",="(1.28)",="(-0.05)",=""

="1998.year",="0.0504",="1.495",=""
="",="(0.13)",="(1.47)",=""

="1999.year",="0.237",="0.868",=""
="",="(0.70)",="(0.67)",=""

="2000.year",="0.0381",="-0.516",=""
="",="(0.08)",="(-0.46)",=""

="2001.year",="0.651",="-0.672",=""
="",="(1.32)",="(-0.74)",=""

="2002.year",="0.0333",="0.436",=""
="",="(0.08)",="(0.56)",=""

="2003.year",="-0.230",="-0.290",="0"
="",="(-0.50)",="(-0.28)",="(.)"

