
="",="(1)",="(2)",="(3)",="(4)"
="",="age_at_first_birth",="age_at_first_birth",="age_at_first_birth",="age_at_first_birth"

="log_stampval",="-0.722**",="-0.204",="-0.393*",="-0.0391"
="",="(-4.32)",="(-1.27)",="(-2.27)",="(-0.57)"

="married",="0.203",="0.516",="-0.136",="-0.0830"
="",="(0.64)",="(1.30)",="(-0.63)",="(-0.50)"

="nchild",="-1.790***",="-0.956***",="-1.828***",="-1.255***"
="",="(-9.33)",="(-7.30)",="(-11.40)",="(-9.11)"

="unemprate",="-0.0637",="-0.174",="-0.0269",="-0.0219"
="",="(-0.38)",="(-1.29)",="(-0.18)",="(-0.17)"

="management_business_financial",="0",="-3.275***",="-1.211",="-1.335"
="",="(.)",="(-6.03)",="(-0.93)",="(-0.75)"

="professional_related",="-0.434",="0.258",="-1.156",="0.361"
="",="(-0.95)",="(0.18)",="(-1.37)",="(0.42)"

="service_occupations",="-0.601",="0.312",="-0.281",="-0.962*"
="",="(-1.08)",="(0.32)",="(-0.44)",="(-2.78)"

="sales_office",="-0.969",="-1.112",="-2.101**",="-2.022*"
="",="(-0.94)",="(-1.47)",="(-3.32)",="(-2.38)"

="natres_const_maintenance",="0.461",="0.335",="-0.864",="-0.275"
="",="(0.44)",="(0.18)",="(-1.28)",="(-0.27)"

="prod_transp_mater_moving",="-0.466",="0.0248",="-0.200",="-0.687"
="",="(-0.96)",="(0.06)",="(-0.59)",="(-1.26)"

="empstat",="0.0309",="0.0696*",="0.0129",="-0.0143"
="",="(2.27)",="(2.82)",="(1.05)",="(-1.30)"

="log_hhincome",="0.371**",="0.381*",="0.190",="0.0255"
="",="(3.80)",="(2.91)",="(2.10)",="(0.21)"

="famsize",="-0.0109",="-0.0676",="0.0539",="-0.249"
="",="(-0.07)",="(-0.32)",="(0.42)",="(-2.01)"

="metro_dummy",="0.351",="0.0301",="-0.0502",="-0.464***"
="",="(0.56)",="(0.07)",="(-0.45)",="(-5.45)"

="race1",="0.528",="0.996",="-0.00636",="1.045*"
="",="(0.94)",="(1.64)",="(-0.02)",="(2.57)"

="1996.year",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1997.year",="1.392",="0.377",="-0.725",="0.867"
="",="(2.18)",="(0.49)",="(-1.20)",="(1.13)"

="1998.year",="0.958*",="1.422",="-0.681",="0.750"
="",="(2.61)",="(1.72)",="(-1.06)",="(1.44)"

="1999.year",="0.0908",="0.547",="0.188",="0.950"
="",="(0.10)",="(0.77)",="(0.31)",="(1.78)"

