
="",="(1)",="(2)",="(3)",="(4)"
="",="age_at_first_birth",="age_at_first_birth",="age_at_first_birth",="age_at_first_birth"

="log_stampval",="-0.221**",="-0.174",="-0.306***",="-0.293**"
="",="(-2.72)",="(-1.93)",="(-3.67)",="(-3.38)"

="married",="0.0611",="0.0375",="0.00830",="-0.0257"
="",="(0.46)",="(0.28)",="(0.07)",="(-0.21)"

="nchild",="-1.548***",="-1.575***",="-1.533***",="-1.561***"
="",="(-13.11)",="(-15.20)",="(-12.71)",="(-14.61)"

="unemprate",="0.0547",="0.00573",="0.152",="0.0107"
="",="(1.75)",="(0.13)",="(1.66)",="(0.12)"

="black",="-0.780*",="-0.237",="-0.766*",="-0.187"
="",="(-2.58)",="(-1.02)",="(-2.64)",="(-0.83)"

="management_business_financial",="-1.457",="-1.705*",="-1.494",="-1.577"
="",="(-1.57)",="(-2.10)",="(-1.60)",="(-1.84)"

="professional_related",="0.598",="0.507",="0.0795",="0.0798"
="",="(1.24)",="(1.00)",="(0.16)",="(0.15)"

="service_occupations",="0.0560",="-0.0564",="-0.273",="-0.314"
="",="(0.18)",="(-0.18)",="(-0.82)",="(-0.92)"

="sales_office",="-1.515***",="-1.512***",="-1.692***",="-1.581***"
="",="(-3.51)",="(-3.61)",="(-3.82)",="(-3.58)"

="natres_const_maintenance",="0.0300",="-0.0934",="-0.332",="-0.364"
="",="(0.05)",="(-0.20)",="(-0.53)",="(-0.69)"

="prod_transp_mater_moving",="0.156",="0.0719",="-0.221",="-0.215"
="",="(0.93)",="(0.45)",="(-0.98)",="(-0.95)"

="empstat",="0.0330***",="0.0276**",="0.0242*",="0.0218*"
="",="(3.67)",="(3.07)",="(2.57)",="(2.29)"

="log_hhincome",="0.343***",="0.317***",="0.237***",="0.192**"
="",="(5.25)",="(5.54)",="(3.57)",="(3.24)"

="famsize",="-0.00542",="-0.0519",="0.0135",="-0.0211"
="",="(-0.06)",="(-0.53)",="(0.14)",="(-0.22)"

="metro_dummy",="0.488*",="-0.00827",="0.488*",="-0.00781"
="",="(2.41)",="(-0.05)",="(2.22)",="(-0.04)"

="1.statefip",="",="0",="",="0"
="",="",="(.)",="",="(.)"

="2.statefip",="",="3.097***",="",="3.094***"
="",="",="(24.92)",="",="(20.14)"

="4.statefip",="",="0.998***",="",="1.041***"
="",="",="(7.80)",="",="(7.72)"

="5.statefip",="",="-0.518***",="",="-0.493***"
="",="",="(-7.28)",="",="(-6.81)"

="6.statefip",="",="2.324***",="",="2.391***"
="",="",="(13.65)",="",="(12.00)"

="8.statefip",="",="1.417***",="",="1.433***"
="",="",="(16.09)",="",="(13.07)"

="9.statefip",="",="0.625***",="",="0.748***"
="",="",="(4.91)",="",="(5.32)"

="10.statefip",="",="0.153*",="",="0.196*"
="",="",="(2.29)",="",="(2.04)"

="11.statefip",="",="1.078***",="",="1.115***"
="",="",="(5.01)",="",="(4.39)"

="12.statefip",="",="1.300***",="",="1.309***"
="",="",="(21.03)",="",="(16.88)"

="13.statefip",="",="-0.808***",="",="-0.892***"
="",="",="(-21.51)",="",="(-16.25)"

="15.statefip",="",="3.234***",="",="3.434***"
="",="",="(23.27)",="",="(19.87)"

="16.statefip",="",="1.113***",="",="1.145***"
="",="",="(13.26)",="",="(11.62)"

="17.statefip",="",="1.031***",="",="1.123***"
="",="",="(9.87)",="",="(9.53)"

="18.statefip",="",="-1.779***",="",="-1.775***"
="",="",="(-20.42)",="",="(-17.86)"

="19.statefip",="",="-0.0642",="",="0.0338"
="",="",="(-0.52)",="",="(0.17)"

="20.statefip",="",="0.755***",="",="0.707***"
="",="",="(6.88)",="",="(4.64)"

="21.statefip",="",="-0.860***",="",="-0.803***"
="",="",="(-7.89)",="",="(-7.09)"

="22.statefip",="",="0.961***",="",="0.883***"
="",="",="(23.75)",="",="(17.92)"

="23.statefip",="",="-0.292*",="",="-0.0950"
="",="",="(-2.39)",="",="(-0.67)"

="24.statefip",="",="1.944***",="",="1.908***"
="",="",="(40.66)",="",="(19.85)"

="25.statefip",="",="1.962***",="",="1.921***"
="",="",="(17.95)",="",="(13.68)"

="26.statefip",="",="0.316**",="",="0.368**"
="",="",="(2.77)",="",="(2.69)"

="27.statefip",="",="0.803***",="",="0.848***"
="",="",="(9.85)",="",="(4.89)"

="28.statefip",="",="1.462***",="",="1.406***"
="",="",="(27.02)",="",="(18.29)"

="29.statefip",="",="-0.981***",="",="-0.917***"
="",="",="(-18.68)",="",="(-12.13)"

="30.statefip",="",="-0.492***",="",="-0.326*"
="",="",="(-3.62)",="",="(-2.22)"

="31.statefip",="",="1.079***",="",="1.120***"
="",="",="(9.28)",="",="(4.43)"

="32.statefip",="",="1.667***",="",="1.601***"
="",="",="(10.56)",="",="(7.85)"

="33.statefip",="",="-0.403**",="",="-0.365"
="",="",="(-2.73)",="",="(-1.69)"

="34.statefip",="",="1.530***",="",="1.626***"
="",="",="(22.02)",="",="(18.75)"

="35.statefip",="",="1.527***",="",="1.514***"
="",="",="(15.78)",="",="(13.32)"

="36.statefip",="",="2.031***",="",="2.165***"
="",="",="(11.93)",="",="(11.81)"

="37.statefip",="",="0.720***",="",="0.569***"
="",="",="(12.39)",="",="(9.29)"

="38.statefip",="",="-0.404*",="",="-0.301"
="",="",="(-2.18)",="",="(-1.02)"

="39.statefip",="",="-0.00255",="",="0.0462"
="",="",="(-0.03)",="",="(0.44)"

="40.statefip",="",="-0.327**",="",="-0.416*"
="",="",="(-2.98)",="",="(-2.61)"

="41.statefip",="",="1.367***",="",="1.365***"
="",="",="(13.35)",="",="(11.41)"

="42.statefip",="",="-0.715***",="",="-0.621***"
="",="",="(-8.14)",="",="(-5.74)"

="44.statefip",="",="1.208***",="",="1.318***"
="",="",="(7.72)",="",="(7.79)"

="45.statefip",="",="0.321***",="",="0.313**"
="",="",="(4.10)",="",="(2.83)"

="46.statefip",="",="1.345***",="",="1.409***"
="",="",="(8.46)",="",="(5.18)"

="47.statefip",="",="0.940***",="",="0.900***"
="",="",="(11.98)",="",="(10.50)"

="48.statefip",="",="2.126***",="",="2.142***"
="",="",="(20.90)",="",="(19.66)"

="49.statefip",="",="2.840***",="",="2.900***"
="",="",="(23.51)",="",="(15.62)"

="50.statefip",="",="0.166",="",="0.321"
="",="",="(1.21)",="",="(1.46)"

="51.statefip",="",="0.165*",="",="0.153"
="",="",="(2.14)",="",="(1.06)"

="53.statefip",="",="0.650***",="",="0.603***"
="",="",="(7.34)",="",="(6.44)"

="54.statefip",="",="-1.224***",="",="-1.282***"
="",="",="(-12.13)",="",="(-12.16)"

="55.statefip",="",="1.162***",="",="1.280***"
="",="",="(11.61)",="",="(9.61)"

="56.statefip",="",="-0.190",="",="-0.121"
="",="",="(-1.17)",="",="(-0.61)"

="1996.year",="",="",="0",="0"
="",="",="",="(.)",="(.)"

="1997.year",="",="",="0.518",="0.539"
="",="",="",="(1.14)",="(1.29)"

="1998.year",="",="",="0.413",="0.394"
="",="",="",="(1.02)",="(1.10)"

="1999.year",="",="",="0.491",="0.471"
="",="",="",="(1.11)",="(1.28)"

="2000.year",="",="",="-0.0511",="-0.285"
="",="",="",="(-0.10)",="(-0.74)"

="2001.year",="",="",="0.408",="0.359"
="",="",="",="(0.89)",="(0.84)"

="2002.year",="",="",="-0.232",="0.105"
="",="",="",="(-0.65)",="(0.31)"

="2003.year",="",="",="-0.591",="-0.255"
="",="",="",="(-1.53)",="(-0.72)"

="2004.year",="",="",="0.101",="0.298"
="",="",="",="(0.22)",="(0.68)"

="2005.year",="",="",="0.334",="0.558"
="",="",="",="(0.79)",="(1.37)"

="2006.year",="",="",="-0.00230",="0.175"
="",="",="",="(-0.01)",="(0.45)"

="2007.year",="",="",="0.198",="0.353"
="",="",="",="(0.42)",="(0.97)"

="2008.year",="",="",="0.725",="0.916"
="",="",="",="(1.38)",="(1.86)"

="2009.year",="",="",="0.203",="0.844"
="",="",="",="(0.38)",="(1.97)"

="2010.year",="",="",="-0.0835",="0.720"
="",="",="",="(-0.21)",="(1.19)"

="2011.year",="",="",="0.240",="0.892*"
="",="",="",="(0.59)",="(2.29)"

="2012.year",="",="",="-0.0365",="0.480"
="",="",="",="(-0.09)",="(1.25)"

="2013.year",="",="",="0.714",="1.280*"
="",="",="",="(1.49)",="(2.52)"

="2014.year",="",="",="0.657",="1.023**"
="",="",="",="(1.78)",="(3.20)"

="2015.year",="",="",="0.228",="0.456"
="",="",="",="(0.57)",="(1.20)"

="2016.year",="",="",="0.805",="0.890*"
="",="",="",="(1.86)",="(2.55)"

="2017.year",="",="",="1.427*",="1.625**"
="",="",="",="(2.61)",="(3.14)"

="2018.year",="",="",="1.753**",="1.693***"
="",="",="",="(3.04)",="(3.58)"

="2019.year",="",="",="2.390*",="2.248**"
="",="",="",="(2.62)",="(3.21)"

="_cons",="24.05***",="23.59***",="24.93***",="25.04***"
="",="(21.72)",="(25.92)",="(20.17)",="(25.27)"

="N",="9324",="9324",="9324",="9324"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
